domain,n_rows,outlet_type
arnnet.com.au,8,trade
businesstoday.in,8,national
torontotelegraph.com,8,wire_pr
adage.com,8,trade
freepressjournal.in,8,national
nbcconnecticut.com,8,local
theguardian.com,8,national
srilankasource.com,8,wire_pr
sbr.com.sg,8,national
whatech.com,8,wire_pr
technuter.com,8,trade
techrepublic.com,8,trade
singaporestar.com,8,wire_pr
portal.sina.com.hk,8,wire_pr
ajc.com,8,local
qz.com,8,national
journal-news.com,8,local
wndu.com,8,local
finance-commerce.com,8,local
joplinglobe.com,7,local
businesswireindia.com,7,wire_pr
mb.com.ph,7,national
loudountimes.com,7,local
roscommonherald.ie,7,local
saltlakecitysun.com,7,wire_pr
valdostadailytimes.com,7,local
eejournal.com,7,trade
manufacturing.net,7,trade
tweaktown.com,7,trade
richmond.com,7,local
dailycaller.com,7,national
koreabizwire.com,7,wire_pr
carlow-nationalist.ie,7,local
nepalnational.com,7,wire_pr
ianslive.in,7,wire_pr
malaymail.com,7,national
proactiveinvestors.com,7,wire_pr
yoursourceone.com,7,local
vir.com.vn,7,national
nzherald.co.nz,7,national
winnipegfreepress.com,7,local
nwitimes.com,7,local
inforum.com,7,local
hindustantimes.com,7,national
startribune.com,7,local
dallasnews.com,7,local
wsbt.com,7,local
itbrief.co.nz,7,trade
constructionenquirer.com,7,trade
wisbusiness.com,7,local
marketplace.org,7,national
propertyweek.com,6,trade
bismarcktribune.com,6,local
thejournal.ie,6,national
theday.com,6,local
business.inquirer.net,6,national
sify.com,6,national
meed.com,6,trade
telecomtv.com,6,trade
asiaone.com,6,national
businessmirror.com.ph,6,national
californiatelegraph.com,6,wire_pr
streetinsider.com,6,wire_pr
electropages.com,6,trade
einnews.com,6,wire_pr
techstory.in,6,trade
morningstar.com,6,national
azbigmedia.com,6,local
wusa9.com,6,local
laois-nationalist.ie,6,local
malaysiasun.com,6,wire_pr
neowin.net,6,trade
pandct.com,6,trade
nbcphiladelphia.com,6,local
techmoran.com,6,trade
jcnnewswire.com,6,wire_pr
briefingwire.com,6,wire_pr
newsbytes.ph,6,national
indianexpress.com,6,national
matr.net,6,local
malaya.com.ph,6,national
scmp.com,6,national
econotimes.com,6,national
insideindianabusiness.com,6,local
abc57.com,6,local
mlive.com,6,local
urbanmilwaukee.com,6,local
insideclimatenews.org,6,national
kshb.com,6,local
mondaq.com,6,wire_pr
clickorlando.com,6,local
wispolitics.com,6,local
okcfox.com,6,local
cbc.ca,6,national
sej.org,6,other
wfmj.com,6,local
citizensvoice.com,6,local
energylivenews.com,5,trade
nz.finance.yahoo.com,5,wire_pr
wfae.org,5,local
wkms.org,5,local
energycentral.com,5,trade
latestly.com,5,national
euronews.com,5,national
nbcchicago.com,5,local
mingtiandi.com,5,trade
techwireasia.com,5,trade
businessghana.com,5,national
ecofinagency.com,5,national
africabusinesscommunities.com,5,national
phoenixherald.com,5,wire_pr
techspot.com,5,trade
gulfnews.com,5,national
businessworld.in,5,national
techgoondu.com,5,trade
prnewswire.co.uk,5,wire_pr
japanherald.com,5,wire_pr
fox5dc.com,5,local
bangladeshsun.com,5,wire_pr
gulfbusiness.com,5,national
ksl.com,5,local
mobileworldlive.com,5,trade
newelectronics.co.uk,5,trade
betanews.com,5,trade
en.acnnewswire.com,5,wire_pr
dailypress.com,5,local
dunyanews.tv,5,national
techtimes.com,5,trade
nvdaily.com,5,local
telegraphindia.com,5,national
hawaiitelegraph.com,5,wire_pr
zazoom.it,5,wire_pr
galvnews.com,5,local
itworldcanada.com,5,trade
chinanationalnews.com,5,wire_pr
engineeringnews.co.za,5,trade
telecomlead.com,5,trade
english.aawsat.com,5,national
pr-inside.com,5,wire_pr
ktar.com,5,local
breakingnews.ie,5,national
electronicsweekly.com,5,trade
tennesseedaily.com,5,wire_pr
industrialinfo.com,5,trade
zdnet.com,5,trade
thesun.my,5,national
wwmt.com,5,local
journalgazette.net,5,local
thebusinessdesk.com,5,local
abcnews.go.com,5,national
news4jax.com,5,local
postandcourier.com,5,local
nbcnewyork.com,5,local
wccftech.com,5,trade
fierce-network.com,5,trade
miragenews.com,5,wire_pr
fairfaxtimes.com,5,local
clickondetroit.com,5,local
wsbtv.com,5,local
technical.ly,5,trade
timesherald.com,5,local
natlawreview.com,5,trade
nola.com,5,local
rigzone.com,5,trade
theadvocate.com,5,local
richmondbizsense.com,5,local
wnep.com,5,local
wbrc.com,5,local
chron.com,4,local
sandiegosun.com,4,wire_pr
swarajyamag.com,4,national
windowscentral.com,4,trade
blackseagrain.net,4,wire_pr
capitalfm.co.ke,4,national
thebftonline.com,4,national
wsau.com,4,local
uk.finance.yahoo.com,4,wire_pr
itnewsafrica.com,4,trade
stltoday.com,4,local
eandt.theiet.org,4,trade
katcountry989.com,4,local
mdjonline.com,4,local
zfenglish.com,4,national
theusnews.com,4,wire_pr
datacenternews.asia,4,trade
consumerelectronicsnet.com,4,wire_pr
12news.com,4,local
calcuttanews.net,4,wire_pr
bostonstar.com,4,wire_pr
niagara-gazette.com,4,local
memphissun.com,4,wire_pr
energy.einnews.com,4,wire_pr
buffalonews.com,4,local
eco-business.com,4,trade
thecitizen.com,4,local
newbusinessethiopia.com,4,national
thedickinsonpress.com,4,local
finance.dailyherald.com,4,wire_pr
cio.com,4,trade
hothardware.com,4,trade
clare.fm,4,local
ilonggotechblog.com,4,trade
nigeriasun.com,4,wire_pr
thisdaylive.com,4,national
bruneinews.net,4,wire_pr
theepochtimes.com,4,national
washingtontimes.com,4,national
romfordrecorder.co.uk,4,local
nashvilleherald.com,4,wire_pr
washingtonpost.com,4,national
sloughobserver.co.uk,4,local
whec.com,4,local
building.co.uk,4,trade
nbcwashington.com,4,local
khaleejtimes.com,4,national
en.globes.co.il,4,national
gizmodo.com,4,trade
cbs58.com,4,local
jamestownsun.com,4,local
leadership.ng,4,national
africanreview.com,4,trade
usnews.com,4,national
commercialobserver.com,4,trade
mynorthwest.com,4,local
cairoscene.com,4,local
financialpost.com,4,national
constructionnews.co.uk,4,trade
union-bulletin.com,4,local
nearshoreamericas.com,4,trade
coindesk.com,4,trade
connectionnewspapers.com,4,local
tribune.com.pk,4,national
farmersjournal.ie,4,trade
foxbusiness.com,4,national
harrisondaily.com,4,local
observer.com,4,national
westmeathindependent.ie,4,local
oregonlive.com,4,local
times-herald.com,4,local
securityinfowatch.com,4,trade
talkvietnam.com,4,other
kjzz.org,4,local
wvtf.org,4,local
nextbigfuture.com,4,trade
thesunchronicle.com,4,local
therepublic.com,4,local
deccanherald.com,4,national
journal-advocate.com,4,local
cieonline.co.uk,4,trade
fortmorgantimes.com,4,local
fox9.com,4,local
ibtimes.com,4,national
kildare-nationalist.ie,4,local
gdnonline.com,4,national
rechargenews.com,4,trade
toronto.citynews.ca,4,local
wsiu.org,4,local
nbcdfw.com,4,local
bucksfreepress.co.uk,4,local
limaohio.com,4,local
firstpost.com,4,national
myfox28columbus.com,4,local
kval.com,4,local
stwnewspress.com,4,local
kunc.org,4,local
wunc.org,4,local
grandforksherald.com,4,local
pilotonline.com,4,local
lancasteronline.com,4,local
wdrb.com,4,local
engineering.com,4,trade
abc6onyourside.com,4,local
wvnews.com,4,local
wvmetronews.com,4,local
wdio.com,4,local
gloucesteradvocate.com.au,4,local
wyso.org,4,local
nbcmontana.com,4,local
foxillinois.com,4,local
gazettextra.com,4,local
kxxv.com,4,local
wchstv.com,4,local
wyomingnews.com,3,local
austinglobe.com,3,wire_pr
kfgo.com,3,local
destructoid.com,3,trade
forextv.com,3,wire_pr
nbr.co.nz,3,national
rejournals.com,3,trade
itp.net,3,trade
maryvilleforum.com,3,local
ca.finance.yahoo.com,3,wire_pr
renews.biz,3,trade
businessfacilities.com,3,trade
glamsham.com,3,wire_pr
wealthmanagement.com,3,trade
wenatcheeworld.com,3,local
middlenecknews.com,3,local
thenews-chronicle.com,3,national
computerworld.com,3,trade
business.scoop.co.nz,3,wire_pr
bizjournals.com,3,local
newsghana.com.gh,3,national
rnz.co.nz,3,national
pcmag.com,3,trade
theportugalnews.com,3,national
kdhnews.com,3,local
arabianbusiness.com,3,national
heraldglobe.com,3,wire_pr
politico.eu,3,national
leinsterexpress.ie,3,local
kilkennypeople.ie,3,local
hydrocarbonprocessing.com,3,trade
designworldonline.com,3,trade
channelweb.co.uk,3,trade
rappnews.com,3,local
missoulian.com,3,local
saudigazette.com.sa,3,national
newjerseytelegraph.com,3,wire_pr
biofuelsdigest.com,3,trade
channel3000.com,3,local
fuelcellsworks.com,3,trade
asiabulletin.com,3,wire_pr
dailyprogress.com,3,local
cambodiantimes.com,3,wire_pr
nbclosangeles.com,3,local
crainscleveland.com,3,local
en.vietnamplus.vn,3,national
idahopress.com,3,local
wired.com,3,national
thepeninsulaqatar.com,3,national
laosnews.net,3,wire_pr
insurancenewsnet.com,3,wire_pr
latimes.com,3,national
capitalethiopia.com,3,national
techcentral.ie,3,trade
japantimes.co.jp,3,national
techzine.eu,3,trade
albuquerqueexpress.com,3,wire_pr
venturesafrica.com,3,national
southeastasiapost.com,3,wire_pr
wtvr.com,3,local
deccanchronicle.com,3,national
tribuneonlineng.com,3,national
eenewseurope.com,3,trade
emirates247.com,3,national
crowdfundinsider.com,3,trade
newstalk.com,3,national
hngn.com,3,national
techrecur.com,3,trade
nonpareilonline.com,3,local
altenergymag.com,3,trade
wkzo.com,3,local
thetimes.co.uk,3,national
nrtoday.com,3,local
brazilbusiness.einnews.com,3,wire_pr
watfordobserver.co.uk,3,local
mbtmag.com,3,trade
world-nuclear-news.org,3,trade
biztechafrica.com,3,trade
local10.com,3,local
hometown-pages.com,3,wire_pr
europesun.com,3,wire_pr
10tv.com,3,local
scoop.co.nz,3,national
shanghaiist.com,3,other
ibtimes.com.au,3,national
columbustelegram.com,3,local
wtol.com,3,local
washingtonexaminer.com,3,national
punto.com.ph,3,local
westernpeople.ie,3,local
santafenewmexican.com,3,local
barrons.com,3,national
fudzilla.com,3,trade
economist.com,3,national
bubblear.com,3,wire_pr
htxt.co.za,3,trade
intelligentcio.com,3,trade
thestatesman.com,3,national
springfieldnewssun.com,3,local
wboi.org,3,local
wiltshiretimes.co.uk,3,local
thenextweb.com,3,national
wibc.com,3,local
thenews.com.pk,3,national
newcivilengineer.com,3,trade
rttnews.com,3,wire_pr
proactiveinvestors.com.au,3,national
nypost.com,3,national
asianinvestor.net,3,trade
expressnews.com,3,local
cpr.org,3,local
money.usnews.com,3,national
henricocitizen.com,3,local
cyprus-mail.com,3,national
thegazette.com,3,local
elpasoinc.com,3,local
hurriyetdailynews.com,3,national
breitbart.com,3,national
seattletimes.com,3,local
cleantechnica.com,3,trade
esi-africa.com,3,trade
achrnews.com,3,trade
nuclear-news.net,3,other
wemu.org,3,local
fingerlakes1.com,3,local
97rockonline.com,3,local
riotimesonline.com,3,national
rtoinsider.com,3,trade
cardinalcourieronline.com,3,wire_pr
wallstreetpit.com,3,national
neworleanscitybusiness.com,3,local
wsls.com,3,local
mankatofreepress.com,3,local
greenfieldreporter.com,3,local
virginiabusiness.com,3,local
singletonargus.com.au,3,local
naturalnews.com,3,other
americanbazaaronline.com,3,national
renewableenergyworld.com,3,trade
siliconvalley.com,3,local
pv-magazine.com,3,trade
wishtv.com,3,local
columbian.com,3,local
wvgazettemail.com,3,local
whas11.com,3,local
kitguru.net,3,trade
thebatavian.com,3,local
boisestatepublicradio.org,3,local
dailyreporter.com,3,trade
freemalaysiatoday.com,3,national
radio.wpsu.org,3,local
standardspeaker.com,3,local
wesa.fm,3,local
newser.com,3,national
wmtv15news.com,3,local
ktul.com,3,local
chicago.suntimes.com,3,local
ksdk.com,3,local
wsoctv.com,3,local
channellife.com.au,3,trade
newsitem.com,3,local
bridgemi.com,3,local
cbs4local.com,3,local
cnycentral.com,3,local
queanbeyanage.com.au,3,local
gowatertown.net,3,local
flagpole.com,3,local
michigandaily.com,3,local
13newsnow.com,3,local
13wmaz.com,3,local
firstalert4.com,3,local
alltoc.com,3,other
con-telegraph.ie,2,local
mtstandard.com,2,local
bloombergquint.com,2,national
bendbulletin.com,2,local
gigaom.com,2,trade
omaha.com,2,local
varinsights.com,2,trade
mybroadband.co.za,2,trade
investmentwatchblog.com,2,other
mactech.com,2,trade
kcentv.com,2,local
sfgate.com,2,local
realassets.ipe.com,2,trade
princewilliamtimes.com,2,local
huewire.com,2,trade
ksisradio.com,2,local
sandiegouniontribune.com,2,local
theedgemarkets.com,2,national
yorknewstimes.com,2,local
sunstar.com.ph,2,national
thetradenews.com,2,trade
clevelandstar.com,2,wire_pr
jsa.net,2,trade
bakersfield.com,2,local
itbusiness.ca,2,trade
greekherald.com,2,wire_pr
ummid.com,2,national
lagrandeobserver.com,2,local
easternmirrornagaland.com,2,local
thebulltulsa.com,2,local
desmoinesregister.com,2,local
waterstechnology.com,2,trade
dallassun.com,2,wire_pr
vietnamnet.vn,2,national
mtpr.org,2,local
pittsburghstar.com,2,wire_pr
infotel.ca,2,local
caixinglobal.com,2,national
baltimorestar.com,2,wire_pr
gjsentinel.com,2,local
siouxcityjournal.com,2,local
pressreleasepoint.com,2,wire_pr
parisguardian.com,2,wire_pr
virginiamercury.com,2,local
wrvo.org,2,local
wxpr.org,2,local
en.prnasia.com,2,wire_pr
investegate.co.uk,2,wire_pr
milwaukeesun.com,2,wire_pr
vanillaplus.com,2,trade
caledonianrecord.com,2,local
tribuneindia.com,2,national
in.gr,2,national
cbn.co.za,2,local
greekcitytimes.com,2,national
fdiintelligence.com,2,trade
kpq.com,2,local
greenbiz.com,2,trade
jacksonprogress-argus.com,2,local
guampdn.com,2,local
eastvalleytribune.com,2,local
crainsdetroit.com,2,local
archinect.com,2,trade
community.scoop.co.nz,2,wire_pr
djcoregon.com,2,trade
pctechmag.com,2,trade
dailytimes.com.pk,2,national
bdtonline.com,2,local
devdiscourse.com,2,national
hapakenya.com,2,trade
garoweonline.com,2,national
morungexpress.com,2,local
thedailytimes.com,2,local
bgdailynews.com,2,local
thestandard.com.hk,2,national
restonnow.com,2,local
thestandard.co.zw,2,national
leadertelegram.com,2,local
donegallive.ie,2,local
techcabal.com,2,trade
timesdaily.com,2,local
tipperarylive.ie,2,local
dbta.com,2,trade
niagarafallsreporter.com,2,local
al-monitor.com,2,national
thisislocallondon.co.uk,2,local
ispreview.co.uk,2,trade
londonmercury.com,2,wire_pr
virtual-strategy.com,2,wire_pr
monitor.co.ug,2,national
nextbigwhat.com,2,trade
caribbeanherald.com,2,wire_pr
guru3d.com,2,trade
anandtech.com,2,trade
madison.com,2,local
theage.com.au,2,national
journal-topics.com,2,local
timesnownews.com,2,national
nbcrightnow.com,2,local
nbc4i.com,2,local
wnewsj.com,2,local
nytimes.com,2,national
longfordleader.ie,2,local
bilkulonline.com,2,national
starherald.com,2,local
wset.com,2,local
wlip.com,2,local
finanzen.at,2,wire_pr
columbiabasinherald.com,2,local
yourstory.com,2,trade
thereminder.ca,2,local
kait8.com,2,local
anglocelt.ie,2,local
pehub.com,2,trade
engineering-jobs.theiet.org,2,other
propakistani.pk,2,trade
gazette.com,2,local
wcbe.org,2,local
architectureanddesign.com.au,2,trade
dailyyonder.com,2,national
ein.iconnect007.com,2,trade
wsaz.com,2,local
newyorkstatesman.com,2,wire_pr
china-briefing.com,2,trade
insideevs.com,2,trade
timesnews.net,2,local
diginomica.com,2,trade
knau.org,2,local
dentonrc.com,2,local
borneobulletin.com.bn,2,national
offalyindependent.ie,2,local
dailytidings.com,2,local
johnogroat-journal.co.uk,2,local
mprnews.org,2,local
swfinstitute.org,2,trade
whig.com,2,local
reuters.com,2,national
channeleye.co.uk,2,trade
ghanamma.com,2,national
jamaicantimes.com,2,wire_pr
climatecontrolnews.com.au,2,trade
modernreaders.com,2,wire_pr
albawaba.com,2,national
bdcnetwork.com,2,trade
zimbabwestar.com,2,wire_pr
eurasiareview.com,2,national
industryweek.com,2,trade
krcrtv.com,2,local
kvue.com,2,local
investopedia.com,2,national
cointelegraph.com,2,trade
kfyrtv.com,2,local
theweek.in,2,national
circleid.com,2,trade
foxnews.com,2,national
us.cnn.com,2,national
globalconstructionreview.com,2,trade
renewableenergymagazine.com,2,trade
computing.co.uk,2,trade
tribstar.com,2,local
kcrg.com,2,local
miningweekly.com,2,trade
11alive.com,2,local
joyfreepress.com,2,other
cacm.acm.org,2,trade
tulsaworld.com,2,local
interaksyon.philstar.com,2,national
squatchrocks.com,2,local
chiangraitimes.com,2,local
perhamfocus.com,2,local
denverpost.com,2,local
athens-times.com,2,local
dmagazine.com,2,local
wosu.org,2,local
wowo.com,2,local
techent.tv,2,trade
dailymail.co.uk,2,national
dominica.gov.dm,2,other
wsfa.com,2,local
thedailystar.net,2,national
funds-europe.com,2,trade
naftemporiki.gr,2,national
fox42kptm.com,2,local
piquenewsmagazine.com,2,local
wutc.org,2,local
dailyjournal.net,2,local
gamerant.com,2,other
thejakartapost.com,2,national
abc7amarillo.com,2,local
theenterpriseleader.com,2,wire_pr
onegreenplanet.org,2,other
knoxradio.com,2,local
lanereport.com,2,local
edmontonjournal.com,2,local
fool.com.au,2,national
thecorner.eu,2,national
midmichigannow.com,2,local
live5news.com,2,local
pymnts.com,2,trade
grist.org,2,national
theborneopost.com,2,local
solarpowerportal.co.uk,2,trade
elkharttruth.com,2,local
interlochenpublicradio.org,2,local
600wmtradio.iheart.com,2,local
dailylocal.com,2,local
roanoke.com,2,local
mcall.com,2,local
insidermedia.com,2,trade
edmontonexaminer.com,2,local
thisisoxfordshire.co.uk,2,local
thedailynewsonline.com,2,local
bostonglobe.com,2,local
pv-tech.org,2,trade
airdriecityview.com,2,local
thecooldown.com,2,other
csrwire.com,2,wire_pr
knoe.com,2,local
pressenterpriseonline.com,2,local
herald-dispatch.com,2,local
theconstructionindex.co.uk,2,trade
idahobusinessreview.com,2,local
stalbertgazette.com,2,local
eastbaytimes.com,2,local
areadevelopment.com,2,trade
wgme.com,2,local
newsweek.com,2,national
nny360.com,2,local
electronicdesign.com,2,trade
lockhaven.com,2,local
tonyskansascity.com,2,local
newkerala.com,2,national
yakimaherald.com,2,local
aol.com,2,national
nbcmiami.com,2,local
1049therebel.com,2,local
butlereagle.com,2,local
wwno.org,2,local
sloveniatimes.com,2,national
ibtimes.co.in,2,national
domain-b.com,2,national
evertiq.com,2,trade
newson6.com,2,local
weirtondailytimes.com,2,local
wandtv.com,2,local
pottsmerc.com,2,local
grimsbytelegraph.co.uk,2,local
advocate-news.com,2,local
publicradioeast.org,2,local
technologyreview.com,2,trade
electric949.com,2,local
indonesiatribune.com,2,national
northwestgeorgianews.com,2,local
indiatvnews.com,2,national
cvilletomorrow.org,2,local
betakit.com,2,trade
wvik.org,2,local
lufkindailynews.com,2,local
rockymounttelegram.com,2,local
news18.com,2,national
statesboroherald.com,2,local
upr.org,2,local
pennlive.com,2,local
kashmirreader.com,2,local
13wham.com,2,local
governorswindenergycoalition.org,2,other
havasunews.com,2,local
kuaf.com,2,local
wlky.com,2,local
mymotherlode.com,2,local
keyc.com,2,local
informatechtarget.com,2,trade
wcnc.com,2,local
arkansasonline.com,2,local
wrno.iheart.com,2,local
wysu.org,2,local
timesleader.com,2,local
wydaily.com,2,local
news.az,2,national
sanfordherald.com,2,local
republicanherald.com,2,local
bunburymail.com.au,2,local
fox56.com,2,local
tiftongazette.com,2,local
myhostnews.com,2,trade
41nbc.com,2,local
power-technology.com,2,trade
hubcityradio.com,2,local
kvia.com,2,local
counterpunch.org,2,national
somdnews.com,2,local
kob.com,2,local
slguardian.org,2,national
click2houston.com,2,local
edenmagnet.com.au,2,local
mercurynews.com,2,local
batemansbaypost.com.au,2,local
ksmu.org,2,local
coloradostar.com,2,other
datacenter.news,2,trade
whro.org,2,local
gulte.com,2,local
wyomingnewsnow.tv,2,local
wbrz.com,2,local
austin.culturemap.com,2,local
statesman.com,2,local
wctrib.com,2,local
gpb.org,2,local
illinoistimes.com,2,local
wmtw.com,2,local
koco.com,2,local
cnn.com,2,national
wbay.com,2,local
themorningsun.com,2,local
energy-pedia.com,2,trade
wfyi.org,2,local
utahindependent.com,2,other
fox2detroit.com,2,local
windsorstar.com,2,local
katv.com,2,local
wknofm.org,2,local
kwbu.org,2,local
easternriverinachronicle.com.au,2,local
whsm.com,2,local
wilx.com,2,local
wlrn.org,2,local
mykisscountry937.com,2,local
news.tuoitre.vn,2,national
myleaderpaper.com,2,local
koolfmabilene.com,2,local
satellitetoday.com,2,trade
tradearabia.com,2,national
thenewsherald.com,2,local
gulfcoastnewsnow.com,2,local
theoaklandpress.com,2,local
communityimpact.com,2,local
ktvz.com,2,local
mendocinobeacon.com,2,local
whqr.org,2,local
capitalgazette.com,2,local
theleader.com.au,2,local
kpbs.org,2,local
wapt.com,2,local
khak.com,2,local
koreatimes.co.kr,2,national
wvtm13.com,2,local
pressherald.com,2,local
baltimoresun.com,2,local
wrdw.com,2,local
space.com,2,national
thevwindependent.com,2,local
2news.com,2,local
times-news.com,2,local
fox969.com,2,local
woub.org,2,local
oberonreview.com.au,2,local
ktxs.com,2,local
enr.com,2,trade
vnews.com,2,local
stcatharinesstandard.ca,2,local
azcentral.com,1,local
drgnews.com,1,local
twinfinite.net,1,other
chilecomparte.cl,1,other
realestatebusiness.com.au,1,trade
environmentalleader.com,1,trade
datamation.com,1,trade
macaubusiness.com,1,national
billingsgazette.com,1,local
law360.com,1,trade
maxwellgunterdispatch.com,1,other
finextra.com,1,trade
2merkato.com,1,national
newscenter1.tv,1,local
idgconnect.com,1,trade
dw.com,1,national
helenair.com,1,local
slator.com,1,trade
generation-nt.com,1,trade
businessdailyafrica.com,1,national
kulr8.com,1,local
investvine.com,1,trade
wfmd.com,1,local
shanghainews.net,1,other
933thedrive.com,1,local
africa.businessinsider.com,1,national
journal.com.ph,1,national
wdbqam.com,1,local
libyannewswire.com,1,wire_pr
oanow.com,1,local
gamepur.com,1,other
shoosmiths.co.uk,1,other
dutchnews.nl,1,national
indiainfoline.com,1,national
federalnewsnetwork.com,1,trade
theautochannel.com,1,trade
stlouisstar.com,1,wire_pr
africanewswire.za.com,1,wire_pr
stamfordadvocate.com,1,local
iraqsun.com,1,wire_pr
stuff.co.nz,1,national
ktlo.com,1,local
rep-am.com,1,local
starexponent.com,1,local
thesouthern.com,1,local
dezeen.com,1,trade
businessrecord.com,1,local
kios.org,1,local
techwire.net,1,trade
justmeans.com,1,trade
opengovasia.com,1,trade
muscatdaily.com,1,national
pantagraph.com,1,local
worldpropertyjournal.com,1,trade
herald-review.com,1,local
facilityexecutive.com,1,trade
qconline.com,1,local
wiredprnews.com,1,wire_pr
akipress.com,1,national
bigcountry995.com,1,local
marketscale.com,1,trade
thetimeshub.in,1,other
khits.com,1,local
northernnews.ca,1,local
dkoding.in,1,trade
kyma.com,1,local
concreteproducts.com,1,trade
eyeradio.org,1,national
science.thewire.in,1,national
industrytoday.co.uk,1,trade
guardian.ng,1,national
realwire.com,1,wire_pr
bozemandailychronicle.com,1,local
740thefan.com,1,local
techtarget.com,1,trade
idrw.org,1,other
diplomaticourier.com,1,national
vanguardngr.com,1,national
charkoosta.com,1,local
updatesnews.com,1,other
news-journal.com,1,local
uschamber.com,1,other
scienceblog.com,1,other
kuer.org,1,local
theafricareport.com,1,national
hometownstations.com,1,local
theindependent.com,1,local
caribbeannewsglobal.com,1,national
kualalumpurtimes.com,1,national
thezimbabwemail.com,1,national
businessnewsthisweek.com,1,wire_pr
chroniclejournal.com,1,local
technologyrecord.com,1,trade
apr.org,1,local
afghanistansun.com,1,wire_pr
ypradio.org,1,local
kunm.org,1,local
fortuneindia.com,1,national
baoapbac.vn,1,local
aspenpublicradio.org,1,local
onmsft.com,1,trade
wuft.org,1,local
en.qantara.de,1,national
kawc.org,1,local
hjnews.com,1,local
fox32chicago.com,1,local
krvs.org,1,local
batonrougepost.com,1,wire_pr
rexburgstandardjournal.com,1,local
heraldscotland.com,1,national
irishsun.com,1,wire_pr
noypigeeks.com,1,trade
beatricedailysun.com,1,local
wmal.com,1,local
tech.hindustantimes.com,1,national
utilities-me.com,1,trade
so-co-it.com,1,other
