id,month,seendate,title,domain,sourcecountry,relevant,sentiment,theme
22,2022-01,20220110T093000Z,Tesla could rattle 2021 luxury auto sales race,autonews.com,United States,no,neutral,other
23,2022-01,20220110T093000Z,"Colt Data Centre Services set for major growth spur , securing ten new sites across Europe & APAC",prnewswire.com,United States,yes,positive,investment_buildout
24,2022-01,20220110T093000Z,HIVE Blockchain Presents December 2021 Production and Calendar Year 2021 Figures,streetinsider.com,United States,no,neutral,other
25,2022-01,20220110T094500Z,"Qatar - Vodafone , Microsoft boost strategic partnership",menafn.com,Qatar,no,neutral,other
26,2022-01,20220110T114500Z,Korean REITs total assets surpass $58 bn in 2021,english.hankyung.com,South Korea,no,neutral,other
27,2022-01,20220110T120000Z,"CloudHQ plotting 4 million sq ft campus in Ashburn , Virginia",datacenterdynamics.com,United States,yes,positive,investment_buildout
28,2022-01,20220110T120000Z,"What are the Top Storage Trends for 2022 ? - IT News Africa - Up to date technology news , IT news , Digital news , Telecom news , Mobile news , Gadgets news , Analysis and Reports",itnewsafrica.com,South Africa,no,neutral,other
29,2022-01,20220110T121500Z,The Bitcoin Challenge : How to Tame Digital Predators - JusticeNewsFlash . com,justicenewsflash.com,United States,no,neutral,other
30,2022-01,20220110T123000Z,"The Best Stocks to Invest $10 , 000 In Right Now",fool.com,United States,no,neutral,other
31,2022-01,20220110T131500Z,"Uptick in scams , data breaches , crypto and NFT attacks seen in SEA this 2022",newsbytes.ph,Philippines,no,neutral,other
32,2022-01,20220110T134500Z,"Insurtech Market Report 2021 - 2026 : Industry Trends , Share , Size , Growth and Forecast",bignewsnetwork.com,United States,no,neutral,other
33,2022-01,20220110T153000Z,Telecom Service Assurance Market Worth $10 . 4 Billion by 2026,sbwire.com,United States,no,neutral,other
34,2022-01,20220110T153000Z,Logicalis takes the digital workplace  beyond productivity  with the launch of its collaboration suite,prnewswire.com,United States,no,neutral,other
35,2022-01,20220110T161500Z,"Bloom Energy Names Rick Beuttel as Vice President , Hydrogen Business",bakersfield.com,United States,no,neutral,other
36,2022-01,20220110T161500Z,Netflix Appeals Ruling From Judge Gilstrap That Content Servers Establish Venue - Intellectual Property,mondaq.com,United States,no,neutral,other
37,2022-01,20220110T163000Z,See where Illinois ranks among best states for raising a family,thetelegraph.com,United States,no,neutral,other
38,2022-01,20220110T164500Z,10 Small - Cap Stocks to Buy According to Billionaire Steve Cohen,insidermonkey.com,United States,no,neutral,other
39,2022-01,20220110T164500Z,5 Best EV Battery Stocks To Invest In - Insider Monkey,insidermonkey.com,United States,no,neutral,other
40,2022-01,20220110T170000Z,The Eight Trends That Will Shape the Data Center Industry in 2022,datacenterfrontier.com,United States,yes,neutral,investment_buildout
41,2022-01,20220110T170000Z,NOS Information Management Office : NOS Fiscal Year 2021 Year in Review,oceanservice.noaa.gov,United States,no,neutral,other
42,2022-01,20220110T171500Z,Equinix signs 30MW+ wind PPA in Finland,datacenterdynamics.com,United States,yes,positive,energy_grid
43,2022-01,20220110T171500Z,  Overseas expansion is certainly an option  ,hortidaily.com,United States,no,neutral,other
44,2022-01,20220110T181500Z,"Chubb Appoints Julie Dillman , Executive Vice President , Chubb Group and Digital Transformation Officer ; Thomas Kropp Named Senior Vice President , Chubb Group and Global Head of Operations and Technology",finance.yahoo.com,United States,no,neutral,other
45,2022-01,20220110T183000Z,Netherlands Screw Compressors Market – Industrial IT,industrialit.com.au,Australia,no,neutral,other
46,2022-01,20220110T190000Z,Kentucky Coal Mine Converted to Giant Energy Storage Project,cleantechnica.com,United States,no,neutral,other
47,2022-01,20220110T191500Z,"AXT , Inc . Announces Formal Application for Subsidiary IPO",marketscreener.com,,no,neutral,other
48,2022-01,20220110T201500Z,NTT Ltd . Names Miriam Murphy as European CEO,totaltele.com,United Kingdom,no,neutral,other
49,2022-01,20220110T214500Z,Ken Burns pens letter opposing western Prince William data centers on  hallowed ground  | Headlines,insidenova.com,United States,yes,negative,community_opposition
50,2022-01,20220110T233000Z,Intel Names Michelle Johnston Holthaus As PC Unit New Leader,crn.com,United States,no,neutral,other
51,2022-01,20220111T001500Z,Kaseya Looks Back on 2021 as Transformative Year with More IT Complete Enhancements Than Ever Before,prweb.com,United States,no,neutral,other
52,2022-01,20220123T000000Z,No way out : How the poor get stranded in California nursing homes,capradio.org,United States,no,neutral,other
53,2022-01,20220123T003000Z,"Lead Plaintiff Deadline Approaching : Kessler Topaz Meltzer & Check , LLP Announces Deadline in Securities Fraud Class Action Lawsuit Filed Against Marathon Digital Holdings , Inc . ",forextv.com,United States,no,neutral,other
54,2022-01,20220123T064500Z,"West Virginia High Tech Foundation looks to further expand I - 79 Tech Park , commercial climate and weather industry ( copy ) ",wvnews.com,United States,no,neutral,other
55,2022-01,20220123T094500Z,Intel to build $20B Ohio chip facility amid global shortage - New Delhi Times - India Only International Newspaper,newdelhitimes.com,United States,no,neutral,other
56,2022-01,20220123T100000Z,MIS inks $23m worth of contracts for cloud hosting and data center services,arabnews.com,Saudi Arabia,yes,positive,investment_buildout
57,2022-01,20220123T121500Z,Intel to build $20B Ohio chip facility amid global shortage,sunstar.com.ph,Philippines,no,neutral,other
58,2022-01,20220123T131500Z,Cloudflare Stock : Bear vs . Bull | The Motley Fool,fool.com,United States,no,neutral,other
59,2022-01,20220123T131500Z,"Want 162 % to 227 % Gains ? 3 Growth Stocks to Buy in 2022 , According to Wall Street",fool.com,United States,no,neutral,other
60,2022-01,20220123T134500Z,California technology company sets Chardon operation | Crain Cleveland Business,crainscleveland.com,United States,no,neutral,other
61,2022-01,20220123T144500Z,Schneider Electric eyes Industry 4 . 0 transformation with Aveva deal,digitaljournal.com,United States,no,neutral,other
62,2022-01,20220123T150000Z,TASI snaps 10 - day rally ; weak earnings weigh on sentiment : Closing bell,arabnews.com,Saudi Arabia,no,neutral,other
63,2022-01,20220123T154500Z,Why American Tower Price Tag Doesnt Worry Me,fool.com,United States,no,neutral,other
64,2022-01,20220123T161500Z,Should an ethics committee first determine who can use power for what ? ,innovationorigins.com,,no,neutral,other
65,2022-01,20220123T164500Z,"After 2021 REIT Rally , Investors Need to Be Picky",marketwatch.com,United States,no,neutral,other
66,2022-01,20220123T220000Z,"Omicron Cases Are Headed in  Right Direction , Fauci says",marketwatch.com,United States,no,neutral,other
67,2022-01,20220123T223000Z,Cramer promoted to president at Loeffler in Lakeville,hometownsource.com,United States,no,neutral,other
68,2022-01,20220124T033000Z,"What Is Golem ( GLM )? Features , Tokenomics , and Price Prediction",boxden.com,United States,no,neutral,other
69,2022-01,20220124T053000Z,Indian digital infra needs investment of up to $23 bn by 2025 : Report,business-standard.com,India,yes,neutral,investment_buildout
70,2022-01,20220124T053000Z,"Arizona Senate , Which Hired Cyber Ninjas , Now Desperately Seeking Its Election Records",huffpost.com,,no,neutral,other
71,2022-01,20220124T061500Z,"Etix rolls out a new data center campus in Bangkok , Thailand",developingtelecoms.com,India,yes,positive,investment_buildout
72,2022-01,20220124T061500Z,Digital Infra needs investment of up to $23 bn by 2025 ; to support rising online traffic demand : Report,freepressjournal.in,India,yes,neutral,investment_buildout
73,2022-01,20220124T070000Z,Intel to build $20B Ohio chip factory amid global shortage,sharonherald.com,United States,no,neutral,other
74,2022-01,20220124T081500Z,"Cisco India looks to acquire capabilities in cybersecurity , 5G , app development",thehindubusinessline.com,India,no,neutral,other
75,2022-01,20220124T083000Z,S . Korea to Invest 107 bln Won in Gwangju AI Complex Project This Year,koreabizwire.com,South Korea,yes,positive,investment_buildout
76,2022-01,20220124T083000Z,How can data centers engage with utilities in 2022 and beyond ? ,datacenterdynamics.com,United States,yes,neutral,energy_grid
77,2022-01,20220124T101500Z,Digital infra sector needs investment of up to $23 bn by 2025 : EY report,businesstoday.in,India,yes,neutral,investment_buildout
78,2022-01,20220124T101500Z,"Q & A : Google Cloud says sustainability efforts have gained momentum , made a difference outside the data centre - Techgoondu",techgoondu.com,Singapore,yes,positive,environment_water
79,2022-01,20220124T103000Z,"IT News Online - Hong Kong Rejoins Global Top Ten Data Center Markets , Ranked Second in Asia Pacific",itnewsonline.com,United States,yes,positive,investment_buildout
80,2022-01,20220124T104500Z,"DCI to build second data center in Auckland , New Zealand",datacenterdynamics.com,United States,yes,positive,investment_buildout
81,2022-01,20220124T111500Z,The Worldwide Enhanced Geothermal Systems Industry is Expect ... ,menafn.com,Qatar,no,neutral,other
82,2022-01,20220124T113000Z,Dell expands Apex cloud and on - prem storage options,networkworld.com,United States,no,neutral,other
83,2022-01,20220124T113000Z,Intel to hang onto Hudson land after demolition,wbjournal.com,United States,no,neutral,other
84,2022-01,20220124T120000Z,Digital Infrastructure Needs Investment Up To $23 Billion By 2025 : Report,ndtv.com,India,yes,neutral,investment_buildout
85,2022-01,20220124T124500Z,Tomorrow Water and Arcadis to partner on data center and wastewater treatment plant sustainability,prnewswire.com,United States,yes,positive,environment_water
86,2022-01,20220124T130000Z,Achmea Investment Management B . V . Raises Holdings in Western Digital Co . ( NASDAQ : WDC ) ,etfdailynews.com,United States,no,neutral,other
87,2022-01,20220124T134500Z,"West Virginia High Tech Foundation looks to further expand I - 79 Tech Park , commercial climate and weather industry",wvnews.com,United States,no,neutral,other
88,2022-01,20220124T141500Z,Liberty Latin America and Vecima Deploy Distributed Access Architecture ( DAA ) to Deliver Enhanced Broadband Services to Customers,galvnews.com,United States,no,neutral,other
89,2022-01,20220124T141500Z,Netlist Expands NVMe ( TM ) SSD Product Line,saltlakecitysun.com,United States,no,neutral,other
90,2022-01,20220124T143000Z,Nuclear energy could come to Indiana under new bill,southbendtribune.com,United States,no,neutral,other
91,2022-01,20220124T151500Z,Apex Great Pathfinder Wind Project Expands Meta Economic Investment in Iowa,businesswire.com,United States,yes,positive,energy_grid
92,2022-01,20220124T151500Z,A bill would pave the way for nuclear power in Indiana -- at a cost to consumers,mdjonline.com,United States,no,neutral,other
93,2022-01,20220124T153000Z,IT News Online - Netlist Expands NVMe ( TM ) SSD Product Line,itnewsonline.com,United States,no,neutral,other
94,2022-01,20220124T154500Z,Gateway to Growth : How the European Green Deal Can Strengthen Africa and Europe Economies,eubulletin.com,Russia,no,neutral,other
95,2022-01,20220124T161500Z,Munters acquires Irish cooling equipment manufacturer EDPAC,datacenterdynamics.com,United States,yes,positive,tech_operations
96,2022-01,20220124T171500Z,IT Market To Hit $4 . 5 Trillion In 2022 As Services Surge : Gartner,crn.com,United States,no,neutral,other
97,2022-01,20220124T171500Z,"Nokia , SK Telecom collaborate on virtualized RAN",rcrwireless.com,United States,no,neutral,other
98,2022-01,20220124T173000Z,Booyah Advertising Named to Ad Age Best Places to Work,globenewswire.com,United States,no,neutral,other
99,2022-01,20220124T174500Z,"Satoshi Energy Raises $2M to Power Bitcoin - Bitcoin Magazine : Bitcoin News , Articles , Charts , and Guides",bitcoinmagazine.com,United States,no,neutral,other
100,2022-01,20220124T181500Z,"Ceremorphic Exits Stealth , Unveils Technology Plans to Deliver New HPC Architecture",hpcwire.com,United States,no,neutral,other
101,2022-01,20220124T181500Z,Digital Realty acquisition of Teracoll boost African GDP,vanguardngr.com,Nigeria,yes,positive,jobs_economy
102,2022-01,20220124T200000Z,Altoona Facebook data center to use Great Pathfinder wind farm energy,desmoinesregister.com,United States,yes,positive,energy_grid
103,2022-01,20220124T200000Z,The Worldwide Enhanced Geothermal Systems Industry is,globenewswire.com,United States,no,neutral,other
104,2022-01,20220124T213000Z,Aktion Associates Appoints Two Vice Presidents,markets.businessinsider.com,United States,no,neutral,other
105,2022-01,20220124T214500Z,10 Best Dividend Contenders to Buy for 2022,insidermonkey.com,United States,no,neutral,other
106,2022-01,20220124T221500Z,Facebook Parent Meta Taps Nvidia GPUs For  Fastest AI Supercomputer  ,crn.com,United States,yes,positive,tech_operations
107,2022-01,20220124T223000Z,I Unplugged What ? ,cacm.acm.org,United States,no,neutral,other
108,2022-01,20220124T234500Z,Digital Realty Announces Tax Treatment of 2021 Dividends,prnewswire.com,United States,no,neutral,other
109,2022-01,20220130T090000Z,Upgrading the internet in CPS schools means investing tens of millions and tearing up streets across Chicago,yahoo.com,United States,no,neutral,other
110,2022-01,20220130T164500Z,Why Cloud Access Security Is Vital To A Sound Cyber Defense Strategy,varinsights.com,,no,neutral,other
111,2022-01,20220130T170000Z,"Nvidia $40 Billion Arm Acquisition Is Now  Highly Unlikely  to Go Through , Analyst Says – NECN",necn.com,United States,no,neutral,other
112,2022-01,20220130T191500Z,Philippines office demand seen to pick up this year,philstar.com,Philippines,no,neutral,other
113,2022-01,20220130T210000Z,"Cryptocurrency firm touts jobs in the Falls , but critics worry about energy use",buffalonews.com,United States,no,neutral,other
114,2022-01,20220130T231500Z,KLDiscovery Introduces Nebula Singularity™ Global Subscription Service,marketscreener.com,,no,neutral,other
115,2022-01,20220131T011500Z,"Europe Bioceramic Materials Market Report Analysis Key Trends , Application areas and Forcast By 2028 – Energy Siren",energysiren.co.ke,,no,neutral,other
116,2022-01,20220131T014500Z,Media Alert : BrainChip Podcast Returns with CEO Sean Hehir – Consumer Electronics Net,consumerelectronicsnet.com,United States,no,neutral,other
117,2022-01,20220131T020000Z,"MARA CLASS ACTION ALERT : Kessler Topaz Meltzer & Check , LLP Reminds Marathon Digital Holdings , Inc . Shareholders of Securities Fraud Class Action Lawsuit",forextv.com,United States,no,neutral,other
118,2022-01,20220131T041500Z,fran rosch - All news and posts by Crowdfund Insider,crowdfundinsider.com,United Kingdom,no,neutral,other
119,2022-01,20220131T053000Z,Where did it all go wrong for chipmaker Intel ? ,menafn.com,Qatar,no,neutral,other
120,2022-01,20220131T060000Z,Aehr Test Systems : Post - Q2 Selloff New Buying Opportunity ( NASDAQ : AEHR ) ,seekingalpha.com,United States,no,neutral,other
121,2022-01,20220131T070000Z,China Real Challenge Is Not Military | The National Interest,nationalinterest.org,United States,no,neutral,other
122,2022-01,20220131T073000Z,Acronis launches first cloud data centre in South Africa,msn.com,United States,yes,positive,investment_buildout
123,2022-01,20220131T080000Z,IT News Online - CITIC Telecom CPC Appointment of New Chief Executive Officer,itnewsonline.com,United States,no,neutral,other
124,2022-01,20220131T093000Z,Worldwide Fiber Optic Testing Industry to 2027,globenewswire.com,United States,no,neutral,other
125,2022-01,20220131T104500Z,Strategies to Reduce Embodied Carbon in the Built Environment,archdaily.com,United States,no,neutral,other
126,2022-01,20220131T110000Z,Vident Investment Advisory LLC Has $1 . 22 Million Stock Position in Corporate Office Properties Trust ( NYSE : OFC ) ,etfdailynews.com,United States,no,neutral,other
127,2022-01,20220131T111500Z,Equinix to close MA2 data center in Manchester,datacenterdynamics.com,United States,yes,neutral,investment_buildout
128,2022-01,20220131T120000Z,Is Crytpo Still Alive In Kazakhstan ? - Technology,mondaq.com,United States,no,neutral,other
129,2022-01,20220131T140000Z,U . S . and the World - Why Im Not Going to the Beijing Winter Olympics - AllGov,allgov.com,United States,no,neutral,other
130,2022-01,20220131T141500Z,Wasatch Advisors Inc . Grows Stock Position in GDS Holdings Limited ( NASDAQ : GDS ) ,etfdailynews.com,United States,no,neutral,other
131,2022-01,20220131T141500Z,Spotify will Warn of Fake News about Covid - Novinite . com,novinite.com,Bulgaria,no,neutral,other
132,2022-01,20220131T154500Z,China Approves the AMD and Xilinx Merger -- What Investors Need to Know,fool.com,United States,no,neutral,other
133,2022-01,20220131T163000Z,GRC Deploys Liquid Immersion Cooling to TACC Lonestar Supercomputer,hpcwire.com,United States,yes,positive,tech_operations
134,2022-01,20220131T164500Z,Managing Cloud : Why to Keep a Data Center Mentality,informationweek.com,United States,yes,neutral,tech_operations
135,2022-01,20220131T170000Z,"Eight Must Reads for the CRE Industry Today ( Jan . 31 , 2022 ) ",wealthmanagement.com,United States,no,neutral,other
136,2022-01,20220131T171500Z,A look at the team running the united kingdom most powerful supercomputer,datacenterdynamics.com,United States,yes,positive,tech_operations
137,2022-01,20220131T171500Z,Broad coalition launches campaign to save the Great Salt Lake from profit - driven decline – Liberation News,liberationnews.org,United States,no,neutral,other
138,2022-01,20220131T173000Z,Airtel Acquires 25 % Stake In Bengaluru Based Lavelle Networks,inc42.com,India,no,neutral,other
139,2022-01,20220131T173000Z,Be Selective With Semiconductor Stocks,etftrends.com,China,no,neutral,other
140,2022-01,20220131T174500Z,Outdated IoT healthcare devices pose major security threats,csoonline.com,United States,no,neutral,other
141,2022-01,20220131T180000Z,Atlas Power Data Center plans to be world largest | Business,sidneyherald.com,United States,yes,positive,investment_buildout
142,2022-01,20220131T193000Z,Top Bitcoin Miners Pressed by U . S . Lawmakers to Detail Climate Impact,datacenterknowledge.com,United States,yes,negative,energy_grid
143,2022-01,20220131T193000Z,Ohio tax incentives approved for 4 companies that will create 327 jobs,dispatch.com,United States,no,neutral,other
144,2022-01,20220131T193000Z,Ambient Scientific Announces GPX - 10 Revolutionizing AI in Endpoint and Edge Devices,eejournal.com,United States,no,neutral,other
145,2022-01,20220131T193000Z,Ambient Scientific announces ultra - low power core technology for AI at the Edge,eejournal.com,United States,no,neutral,other
146,2022-01,20220131T203000Z,One of world largest data centers to locate in Williston,devilslakejournal.com,United States,yes,positive,investment_buildout
147,2022-01,20220131T203000Z,"As bomb threats against HBCUs mount , Rep . Adams urges action",thecharlottepost.com,United States,no,neutral,other
148,2022-01,20220131T210000Z,Telia Helsinki Data Center balances local electric grid,rcrwireless.com,United States,yes,positive,energy_grid
149,2022-01,20220131T213000Z,Key Criteria for Evaluating Mobile Edge Solutions,gigaom.com,United States,no,neutral,other
150,2022-01,20220131T233000Z,Clear Rate Communications Announces New Executive Leadership for the Next Phase of Growth,pr.com,United States,no,neutral,other
151,2022-02,20220214T003000Z,Surveillance Too Cheap to Meter,queue.acm.org,United States,no,neutral,other
152,2022-02,20220214T014500Z,"Google , Amazon and Netflix Are Fighting Over Falling Helium Supplies",oilprice.com,United States,no,neutral,other
153,2022-02,20220214T024500Z,Which VPN Providers Really Take Privacy Seriously in 2020 ? * TorrentFreak,torrentfreak.com,United States,no,neutral,other
154,2022-02,20220214T030000Z,"MARATHON DEADLINE ALERT : Bragar Eagel & Squire , P . C . Reminds Investors That a Class Action Lawsuit Has Been Filed Against Marathon Digital Holdings , I",us.acrofan.com,South Korea,no,neutral,other
155,2022-02,20220214T041500Z,China Telecom and Huawei Jointly Complete the Verification of a 200G+ Ultra Large - Capacity and Long - haul Transmission System,prnewswire.com,United States,no,neutral,other
156,2022-02,20220214T091500Z,Just 3 % of white collar workers want a full return to the office,news24.com,South Africa,no,neutral,other
157,2022-02,20220214T093000Z,OCC Advances Technology Overhaul - Traders Magazine,tradersmagazine.com,United States,no,neutral,other
158,2022-02,20220214T094500Z,How China cybersecurity laws could backfire,japantimes.co.jp,Japan,no,neutral,other
159,2022-02,20220214T111500Z,UPS Market revenue to cross USD 15 Bn by 2028 : Global Market ... ,menafn.com,Qatar,no,neutral,other
160,2022-02,20220214T111500Z,"SmartNIC Revenue Reached $1 . 5 Billion in 2021 , Reports Crehan Research",prnewswire.com,United States,no,neutral,other
161,2022-02,20220214T114500Z,Bright Data review,techradar.com,United Kingdom,no,neutral,other
162,2022-02,20220214T121500Z,"Balyasny Asset Management LLC Grows Stock Holdings in 21Vianet Group , Inc . ( NASDAQ : VNET ) ",etfdailynews.com,United States,no,neutral,other
163,2022-02,20220214T123000Z,Semiconductor market correction could come in 2024,theregister.com,,no,neutral,other
164,2022-02,20220214T131500Z,Inflation May Raise Corporate America Profits : 5 Top Picks,msn.com,United States,no,neutral,other
165,2022-02,20220214T133000Z,Poll : Would you like to see more data centers in Fauquier ? ,fauquiernow.com,United States,yes,neutral,community_opposition
166,2022-02,20220214T133000Z,Tech Giants Are Fighting Over Falling Helium Supplies,prnewswire.co.uk,United Kingdom,no,neutral,other
167,2022-02,20220214T140000Z,Lumentum Announces Upcoming Investor Events,prnewswire.com,United States,no,neutral,other
168,2022-02,20220214T140000Z,Best secure email providers of 2022,techradar.com,United Kingdom,no,neutral,other
169,2022-02,20220214T141500Z,How To Play The Coming Helium Boom,blacklistednews.com,United States,no,neutral,other
170,2022-02,20220214T141500Z,Software - Defined Anything Market - Forecast 2021,briefingwire.com,United States,no,neutral,other
171,2022-02,20220214T141500Z,"EU announces €150 billion African investment package , will fund data center and cable projects",datacenterdynamics.com,United States,yes,positive,investment_buildout
172,2022-02,20220214T141500Z,India Bans 54 More Chinese Apps,entrepreneur.com,United States,no,neutral,other
173,2022-02,20220214T141500Z,"Final Deadline Reminder : Kessler Topaz Meltzer & Check , LLP",globenewswire.com,United States,no,neutral,other
174,2022-02,20220214T151500Z,"Windstream Wholesale to Connect to AUBix Data Center in Auburn , Alabama",apnews.com,United States,yes,neutral,tech_operations
175,2022-02,20220214T151500Z,"Google , Amazon and Netflix Are Fighting Over Falling Helium ... ",menafn.com,Qatar,no,neutral,other
176,2022-02,20220214T151500Z,Analysis : Need for broadband improvement in Rural Pa . ,bradfordera.com,United States,no,neutral,other
177,2022-02,20220214T153000Z,Syntax Recognized on CRN 2022 Managed Service Provider 500 List in the Elite 150 Category for the Second Straight Year,prweb.com,United States,no,neutral,other
178,2022-02,20220214T161500Z,It Day One For The Combined AMD And Xilinx And CEO Lisa Su Is Energized,forbes.com,United States,no,neutral,other
179,2022-02,20220214T163000Z,"New research project highlights Iowa Latino communities . About Latinos , by Latinos",iowapublicradio.org,United States,no,neutral,other
180,2022-02,20220214T173000Z,AMD Stock Rises As Chipmaker Completes Xilinx Acquisition | Investor Business Daily,investors.com,United States,no,neutral,other
181,2022-02,20220214T174500Z,AMD completes record ~$50 billion acquisition of Xilinx,datacenterknowledge.com,United States,no,neutral,other
182,2022-02,20220214T183000Z,Capgemini delivers a record performance in 2021,menafn.com,Qatar,no,neutral,other
183,2022-02,20220214T184500Z,WindAction | Why there little talk about land - based wind farms in rural NC,old.windaction.org,United States,no,neutral,other
184,2022-02,20220214T184500Z,Just 3 % of skilled workers want a full office return – and will quit if forced to,businesstech.co.za,South Africa,no,neutral,other
185,2022-02,20220214T184500Z,How Will Photonics Help Digitally Shrink Our World ? ,azooptics.com,United States,no,neutral,other
186,2022-02,20220214T194500Z,8 Tech Stock Winners & Losers From Q4,markets.businessinsider.com,United States,no,neutral,other
187,2022-02,20220214T194500Z,"Magewell Executive Predictions : 5G , the Cloud , and GPU - Powered AI",streamingmedia.com,United States,no,neutral,other
188,2022-02,20220214T201500Z,Partners Group closes its third direct infrastructure progra ... ,menafn.com,Qatar,no,neutral,other
189,2022-02,20220214T204500Z,Why Secure SD - WAN Should Be Delivered from the Cloud,cio.com,United States,no,neutral,other
190,2022-02,20220214T204500Z,"HIVE Blockchain Technologies Ltd .: HIVE Blockchain Announces Webcast Details for Q3 F2022 Results on Tuesday , February 15 , 2022",finanznachrichten.de,Germany,no,neutral,other
191,2022-02,20220214T213000Z,"AMD Completes $49B Xilinx Acquisition , Largest Chip Deal In History",crn.com,United States,no,neutral,other
192,2022-02,20220214T214500Z,ePlus Recognized on CRN 2022 Managed Service Provider 500 List in Elite 150 Category,prnewswire.com,United States,no,neutral,other
193,2022-02,20220214T220000Z,IBM To Offer z / OS App Development and Testing in Its Public Cloud,datacenterknowledge.com,United States,no,neutral,other
194,2022-02,20220214T220000Z,"AMD acquisition of Xilinx goes through , bolstering the Intel rival",windowscentral.com,United States,no,neutral,other
195,2022-02,20220214T223000Z,"Arista Networks , Inc . Reports Fourth Quarter and Year End 2021 Financial Results – Consumer Electronics Net",consumerelectronicsnet.com,United States,no,neutral,other
196,2022-02,20220214T223000Z,St . Pete PD uses robot featured in Sam Adams Super Bowl commercial,fox13news.com,United States,no,neutral,other
197,2022-02,20220214T224500Z,Intel chips in amid crypto race,thestandard.com.hk,Hong Kong,no,neutral,other
198,2022-02,20220214T233000Z,iTWire - Entrust expands cloud security services in Australia and across APAC with nShield as a service,itwire.com,Australia,no,neutral,other
199,2022-02,20220215T001500Z,2 Tech Stocks Seeing Big Rises After Hours Monday,fool.com,United States,no,neutral,other
200,2022-02,20220221T034500Z,What Data and Green Optical Networks to Digital Economy Is What Water Resource and Roads to Cities,prnewswire.com,United States,no,neutral,other
201,2022-02,20220221T060000Z,"Transmission Line Market to USD 138 . 99 Billion by 2028 Driven by the Increasing Number of Industrial Manufacturing Units , says Fortune Business Insights™",energy.einnews.com,United States,no,neutral,other
202,2022-02,20220221T061500Z,Bharti Airtel enters SEA - ME - WE - 6 undersea cable consortium,indiainfoline.com,India,no,neutral,other
203,2022-02,20220221T061500Z,Inside Intel Bold Chip Making Plans to Dethrone AMD,industryleadersmagazine.com,United States,no,neutral,other
204,2022-02,20220221T061500Z,Airtel joins SEA - ME - WE - 6 undersea cable consortium - The Hindu BusinessLine,thehindubusinessline.com,India,no,neutral,other
205,2022-02,20220221T064500Z,2022 New Year Property Market - Teller Report,tellerreport.com,,no,neutral,other
206,2022-02,20220221T081500Z,"Fiber Optic Labels Market Opportunities , Analysis Forecast Report to 2031",fmiblog.com,,no,neutral,other
207,2022-02,20220221T083000Z,Airtel joins undersea cable consortium SEA - ME - WE - 6,indiantelevision.com,India,no,neutral,other
